id,date,sleep_duration_hr,steps,nightly_temperature,stress_score,daily_temperature_variation,lightly_active_minutes,moderately_active_minutes,very_active_minutes
621e2eaf67b776a2406b14ac,2021-12-15,7.216666666666667,12767.0,34.4765473441,79.0,-2.300250788736453,333.0,14.0,20.0
621e2eaf67b776a2406b14ac,2021-12-16,8.116666666666667,17620.0,34.7890451745,71.0,-1.5930951544999998,351.0,44.0,22.0
621e2eaf67b776a2406b14ac,2021-12-17,9.383333333333333,15381.0,34.2978063943,68.0,-1.6999157579785664,306.0,32.0,32.0
621e2eaf67b776a2406b14ac,2021-12-18,7.633333333333334,11085.0,33.86583878,69.0,-1.6644591893573455,231.0,18.0,15.0
621e2eaf67b776a2406b14ac,2021-12-19,10.966666666666669,10271.0,34.0935432473,0.0,-1.8928124852076464,325.0,7.0,8.0
621e2eaf67b776a2406b14ac,2021-12-20,7.95,10389.0,34.637762605,73.0,-1.6997319005,271.0,29.0,15.0
621e2eaf67b776a2406b14ac,2021-12-21,9.916666666666666,17503.0,34.357907563,75.0,-2.2530557166559886,354.0,29.0,40.0
621e2eaf67b776a2406b14ac,2021-12-22,7.0,13030.0,34.5584404762,83.0,-2.3449147320261323,222.0,43.0,31.0
621e2eaf67b776a2406b14ac,2021-12-23,10.033333333333331,8829.0,34.8831976744,76.0,-0.757155872688889,236.0,21.0,38.0
621e2eaf67b776a2406b14ac,2021-12-24,5.616666666666666,12139.0,35.0100296736,78.0,-1.9205834361974985,332.0,11.0,10.0
621e2eaf67b776a2406b14ac,2021-12-25,9.516666666666667,10822.0,34.5727495622,81.0,-2.2428487557765826,312.0,15.0,26.0
621e2eaf67b776a2406b14ac,2021-12-26,5.783333333333333,18280.0,34.7808933718,80.0,-2.2417817494584904,208.0,49.0,66.0
621e2eaf67b776a2406b14ac,2021-12-27,10.966666666666669,25858.0,34.332124431,84.0,-1.5872007728490638,368.0,104.0,57.0
621e2eaf67b776a2406b14ac,2021-12-28,7.816666666666666,12844.0,34.499393617,72.0,-2.285256094322222,250.0,15.0,34.0
621e2eaf67b776a2406b14ac,2021-12-29,8.883333333333333,21764.0,34.4773639775,88.0,-1.9153607049700487,280.0,55.0,66.0
621e2eaf67b776a2406b14ac,2021-12-30,6.8,19116.0,34.7622426471,83.0,-1.8827367792900216,366.0,28.0,29.0
621e2eaf67b776a2406b14ac,2021-12-31,7.533333333333333,17261.0,34.7261258278,86.0,-1.2481002904777776,434.0,32.0,59.0
621e2eaf67b776a2406b14ac,2022-01-01,4.816666666666666,15142.0,34.9410172414,77.0,-1.3445660986887535,271.0,48.0,41.0
621e2eaf67b776a2406b14ac,2022-01-03,8.166666666666666,12435.0,34.2203673469,0.0,-1.9551318793132075,264.0,21.0,28.0
621e2eaf67b776a2406b14ac,2022-01-04,8.766666666666667,26758.0,34.3061859583,91.0,-2.303071370269424,338.0,92.0,57.0
621e2eaf67b776a2406b14ac,2022-01-05,9.216666666666669,17904.0,34.4887274368,76.0,-2.2757343643372643,273.0,37.0,70.0
621e2eaf67b776a2406b14ac,2022-01-06,10.433333333333334,18562.0,34.2374361022,86.0,-1.6139591917727787,326.0,52.0,41.0
621e2eaf67b776a2406b14ac,2022-01-07,6.783333333333333,13126.0,34.6897174447,83.0,-1.632405818504184,308.0,10.0,16.0
621e2eaf67b776a2406b14ac,2022-01-08,13.883333333333333,22470.0,33.5195575221,0.0,-1.922481063362966,189.0,92.0,66.0
621e2eaf67b776a2406b14ac,2022-01-09,10.25,12773.0,34.0622926829,79.0,-2.2690833867827003,362.0,34.0,30.0
621e2eaf67b776a2406b14ac,2022-01-10,6.766666666666667,14666.0,34.5243842365,77.0,-2.140583577150877,313.0,21.0,15.0
621e2eaf67b776a2406b14ac,2022-01-11,9.15,15394.0,34.1117272727,78.0,-2.688515540889219,317.0,19.0,15.0
621e2eaf67b776a2406b14ac,2022-01-12,7.65,21579.0,34.353540305,78.0,-2.371482454227785,314.0,76.0,45.0
621e2eaf67b776a2406b14ac,2022-01-13,7.85,18387.0,34.7368432203,76.0,-2.325682297911111,332.0,41.0,40.0
621e2eaf67b776a2406b14ac,2022-01-14,6.966666666666667,15386.0,34.7791267943,79.0,-2.167160978111111,276.0,55.0,43.0
621e2eaf67b776a2406b14ac,2022-01-15,9.366666666666667,16114.0,34.4435523979,85.0,-2.554324766385383,367.0,23.0,26.0
621e2eaf67b776a2406b14ac,2022-01-16,6.4,25466.0,34.9105598958,78.0,-1.6879498719173878,309.0,86.0,66.0
621e2eaf67b776a2406b14ac,2022-01-17,8.483333333333333,16618.0,34.1526915521,74.0,-2.539780141822695,346.0,31.0,32.0
621e2eaf67b776a2406b14ac,2022-01-18,7.666666666666667,12243.0,34.3376138829,72.0,-2.447422840093372,275.0,24.0,23.0
